config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC4k_DC8k,4k,8k,UnixBench,Syscall_Exec,21,lps,2407204,19446415,0.1238
IC4k_DC8k,4k,8k,UnixBench,Pipe_Throughput,9979,lps,38413454,247778409,0.1550
IC4k_DC8k,4k,8k,UnixBench,Context_Switching,1022,lps,14814351,118677872,0.1248
IC8k_DC4k,8k,4k,NPB,EP,0.12,Mop/s,2084935779,6758034769,0.3085
IC8k_DC4k,8k,4k,NPB,IS,0,-,0,0,0
IC8k_DC4k,8k,4k,NPB,CG,0.81,Mop/s,353810352,2036919521,0.1737
IC8k_DC4k,8k,4k,NPB,MG,1.11,Mop/s,33814518,169320179,0.1997
IC8k_DC4k,8k,4k,NPB,FT,1.24,Mop/s,583257256,3531484783,0.1652
IC8k_DC4k,8k,4k,NPB,BT,2.24,Mop/s,547168121,2522922293,0.2169
IC8k_DC4k,8k,4k,NPB,SP,1.27,Mop/s,355120949,1879468955,0.1889
IC8k_DC4k,8k,4k,NPB,LU,3.03,Mop/s,199473691,836457376,0.2385
IC8k_DC4k,8k,4k,UnixBench,Arithmetic_Overhead,23588314,lps,100095830,247835306,0.4039
IC8k_DC4k,8k,4k,UnixBench,Arithmetic_Register,686834,lps,146545355,247908987,0.5911
IC8k_DC4k,8k,4k,UnixBench,Arithmetic_Short,686518,lps,146483857,247769470,0.5912
IC8k_DC4k,8k,4k,UnixBench,Arithmetic_Int,685532,lps,146280570,247796879,0.5903
IC8k_DC4k,8k,4k,UnixBench,Dhrystone,276184,lps,86347218,185593151,0.4653
IC8k_DC4k,8k,4k,UnixBench,Arithmetic_Double,684975,lps,146180782,247570393,0.5905
IC8k_DC4k,8k,4k,UnixBench,Whetstone,20.234,MWIPS,103286495,242301537,0.4263
IC8k_DC4k,8k,4k,UnixBench,Syscall_Mix,26242,lps,49233850,247299037,0.1991
IC8k_DC4k,8k,4k,UnixBench,Syscall_GetPID,199884,lps,54292620,246245870,0.2205
IC8k_DC4k,8k,4k,UnixBench,Syscall_Exec,21,lps,2589944,20334460,0.1274
IC8k_DC4k,8k,4k,UnixBench,Pipe_Throughput,11625,lps,43681862,247743005,0.1763
IC8k_DC4k,8k,4k,UnixBench,Context_Switching,1026,lps,14725357,117135175,0.1257
IC8k_DC8k,8k,8k,NPB,EP,0.12,Mop/s,2082514436,6661861781,0.3126
IC8k_DC8k,8k,8k,NPB,IS,0,-,0,0,0
IC8k_DC8k,8k,8k,NPB,CG,0.87,Mop/s,350381514,1887191814,0.1857
IC8k_DC8k,8k,8k,NPB,MG,1.20,Mop/s,33487475,156433984,0.2141
IC8k_DC8k,8k,8k,NPB,FT,1.29,Mop/s,579932079,3390779557,0.1710
IC8k_DC8k,8k,8k,NPB,BT,2.29,Mop/s,545996232,2471684253,0.2209
IC8k_DC8k,8k,8k,NPB,SP,1.34,Mop/s,352988044,1788902116,0.1973
IC8k_DC8k,8k,8k,NPB,LU,3.19,Mop/s,198423412,794522621,0.2497
IC8k_DC8k,8k,8k,UnixBench,Arithmetic_Overhead,23878250,lps,101261771,247847753,0.4086
IC8k_DC8k,8k,8k,UnixBench,Arithmetic_Register,693791,lps,147989920,247928230,0.5969
IC8k_DC8k,8k,8k,UnixBench,Arithmetic_Short,696956,lps,148606362,248063338,0.5991
IC8k_DC8k,8k,8k,UnixBench,Arithmetic_Int,694712,lps,148146038,247940274,0.5975
IC8k_DC8k,8k,8k,UnixBench,Dhrystone,283006,lps,88398028,187215038,0.4722
IC8k_DC8k,8k,8k,UnixBench,Arithmetic_Double,694041,lps,148029457,247793856,0.5974
IC8k_DC8k,8k,8k,UnixBench,Whetstone,20.592,MWIPS,108593734,250803056,0.4330
IC8k_DC8k,8k,8k,UnixBench,Syscall_Mix,27838,lps,51820498,247915814,0.2090
IC8k_DC8k,8k,8k,UnixBench,Syscall_GetPID,236388,lps,63135895,246508359,0.2561
IC8k_DC8k,8k,8k,UnixBench,Syscall_Exec,23,lps,2867721,21833976,0.1313
IC8k_DC8k,8k,8k,UnixBench,Pipe_Throughput,13005,lps,48116496,247836830,0.1941
IC8k_DC8k,8k,8k,UnixBench,Context_Switching,1223,lps,15815430,116860742,0.1353
IC4k_DC128,4k,128,NPB,EP,0.07,Mop/s,2219937985,12471007333,0.1780
IC4k_DC128,4k,128,NPB,IS,0.31,Mop/s,7951188,52333438,0.1519
IC4k_DC128,4k,128,NPB,CG,0.40,Mop/s,401571546,4058492445,0.0989
IC4k_DC128,4k,128,NPB,MG,0.30,Mop/s,44278354,616560604,0.0718
IC4k_DC128,4k,128,NPB,FT,1.04,Mop/s,598920411,4168708879,0.1437
IC4k_DC128,4k,128,NPB,BT,0.98,Mop/s,622098072,5694564712,0.1092
IC4k_DC128,4k,128,NPB,SP,0.54,Mop/s,415167479,4420956785,0.0939
IC4k_DC128,4k,128,NPB,LU,1.41,Mop/s,221567911,1773476092,0.1249
IC4k_DC128,4k,128,UnixBench,Arithmetic_Overhead,19679618,lps,84447050,238228723,0.3545
IC4k_DC128,4k,128,UnixBench,Arithmetic_Register,595615,lps,127874697,245621260,0.5206
IC4k_DC128,4k,128,UnixBench,Arithmetic_Short,585795,lps,125872067,242856590,0.5183
IC4k_DC128,4k,128,UnixBench,Arithmetic_Int,594866,lps,127703128,245183834,0.5208
IC4k_DC128,4k,128,UnixBench,Dhrystone,73060,lps,24686410,126687524,0.1949
IC4k_DC128,4k,128,UnixBench,Arithmetic_Double,588561,lps,126415596,243117845,0.5200
IC4k_DC128,4k,128,UnixBench,Whetstone,6.132,MWIPS,38417739,255606880,0.1503
IC4k_DC128,4k,128,UnixBench,Syscall_Mix,10392,lps,22985424,241866653,0.0950
IC4k_DC128,4k,128,UnixBench,Syscall_GetPID,73857,lps,23734351,245783486,0.0966
IC4k_DC128,4k,128,UnixBench,Syscall_Exec,10,lps,1772488,20280532,0.0874
IC4k_DC128,4k,128,UnixBench,Pipe_Throughput,4643,lps,21310715,243148179,0.0876
IC4k_DC128,4k,128,UnixBench,Context_Switching,0,-,0,0,0
IC4k_DC1k,4k,1k,NPB,EP,0.11,Mop/s,2104875725,7610978248,0.2766
IC4k_DC1k,4k,1k,NPB,IS,0.36,Mop/s,7768671,45043873,0.1725
IC4k_DC1k,4k,1k,NPB,CG,0.66,Mop/s,364252643,2486412489,0.1465
IC4k_DC1k,4k,1k,NPB,MG,0.76,Mop/s,35543375,245798407,0.1446
IC4k_DC1k,4k,1k,NPB,FT,1.12,Mop/s,592185647,3915096005,0.1513
IC4k_DC1k,4k,1k,NPB,BT,1.87,Mop/s,558706298,3018049917,0.1851
IC4k_DC1k,4k,1k,NPB,SP,0.97,Mop/s,368468257,2454535239,0.1501
IC4k_DC1k,4k,1k,NPB,LU,2.31,Mop/s,205417532,1096902333,0.1873
IC4k_DC1k,4k,1k,UnixBench,Arithmetic_Overhead,21566495,lps,91991870,247532597,0.3716
IC4k_DC1k,4k,1k,UnixBench,Arithmetic_Register,624404,lps,133763078,247193037,0.5411
IC4k_DC1k,4k,1k,UnixBench,Arithmetic_Short,624703,lps,133823101,247172498,0.5414
IC4k_DC1k,4k,1k,UnixBench,Arithmetic_Int,626672,lps,134207915,247601788,0.5420
IC4k_DC1k,4k,1k,UnixBench,Dhrystone,234239,lps,73606085,172828744,0.4259
IC4k_DC1k,4k,1k,UnixBench,Arithmetic_Double,626267,lps,134124011,247462142,0.5420
IC4k_DC1k,4k,1k,UnixBench,Whetstone,16.646,MWIPS,87971833,246516412,0.3569
IC4k_DC1k,4k,1k,UnixBench,Syscall_Mix,16091,lps,32411111,246664146,0.1314
IC4k_DC1k,4k,1k,UnixBench,Syscall_GetPID,170853,lps,47255178,244718175,0.1931
IC4k_DC1k,4k,1k,UnixBench,Syscall_Exec,15,lps,2247410,21563774,0.1042
IC4k_DC1k,4k,1k,UnixBench,Pipe_Throughput,6103,lps,25971307,247315608,0.1050
IC4k_DC1k,4k,1k,UnixBench,Context_Switching,729,lps,11261108,112442462,0.1001
IC4k_DC256,4k,256,NPB,EP,0.08,Mop/s,2175242785,10605081516,0.2051
IC4k_DC256,4k,256,NPB,IS,0.32,Mop/s,7901085,49854731,0.1585
IC4k_DC256,4k,256,NPB,CG,0.51,Mop/s,381488703,3213538787,0.1187
IC4k_DC256,4k,256,NPB,MG,0.43,Mop/s,40019123,434386984,0.0921
IC4k_DC256,4k,256,NPB,FT,1.07,Mop/s,596573288,4080733612,0.1462
IC4k_DC256,4k,256,NPB,BT,1.24,Mop/s,594055554,4511166303,0.1317
IC4k_DC256,4k,256,NPB,SP,0.66,Mop/s,395632069,3602345276,0.1098
IC4k_DC256,4k,256,NPB,LU,1.67,Mop/s,215119945,1505201374,0.1429
IC4k_DC256,4k,256,UnixBench,Arithmetic_Overhead,20687235,lps,88504519,245455290,0.3606
IC4k_DC256,4k,256,UnixBench,Arithmetic_Register,601081,lps,128990973,245216490,0.5260
IC4k_DC256,4k,256,UnixBench,Arithmetic_Short,602963,lps,129366639,245664610,0.5266
IC4k_DC256,4k,256,UnixBench,Arithmetic_Int,604252,lps,129640576,246178736,0.5266
IC4k_DC256,4k,256,UnixBench,Dhrystone,105893,lps,34787618,141332671,0.2461
IC4k_DC256,4k,256,UnixBench,Arithmetic_Double,605910,lps,129957360,246356365,0.5275
IC4k_DC256,4k,256,UnixBench,Whetstone,7.861,MWIPS,43039495,233250950,0.1845
IC4k_DC256,4k,256,UnixBench,Syscall_Mix,11527,lps,24888701,245738235,0.1013
IC4k_DC256,4k,256,UnixBench,Syscall_GetPID,79079,lps,24980244,245647503,0.1017
IC4k_DC256,4k,256,UnixBench,Syscall_Exec,11,lps,1886062,20507321,0.0920
IC4k_DC256,4k,256,UnixBench,Pipe_Throughput,4931,lps,22195575,245415774,0.0904
IC4k_DC256,4k,256,UnixBench,Context_Switching,0,-,0,0,0
IC4k_DC512,4k,512,NPB,EP,0.10,Mop/s,2121545080,8317855637,0.2551
IC4k_DC512,4k,512,NPB,IS,0,-,0,0,0
IC4k_DC512,4k,512,NPB,CG,0.61,Mop/s,369592208,2714229688,0.1362
IC4k_DC512,4k,512,NPB,MG,0.62,Mop/s,36860040,301896847,0.1221
IC4k_DC512,4k,512,NPB,FT,1.09,Mop/s,594460673,4004710520,0.1484
IC4k_DC512,4k,512,NPB,BT,1.62,Mop/s,569373236,3472671760,0.1640
IC4k_DC512,4k,512,NPB,SP,0.83,Mop/s,378761172,2887979063,0.1312
IC4k_DC512,4k,512,NPB,LU,1.94,Mop/s,210100557,1298988733,0.1617
IC4k_DC512,4k,512,UnixBench,Arithmetic_Overhead,21085845,lps,90081674,246756967,0.3651
IC4k_DC512,4k,512,UnixBench,Arithmetic_Register,614519,lps,131716566,246922913,0.5334
IC4k_DC512,4k,512,UnixBench,Arithmetic_Short,613786,lps,131573090,246747614,0.5332
IC4k_DC512,4k,512,UnixBench,Arithmetic_Int,613838,lps,131589626,246937272,0.5329
IC4k_DC512,4k,512,UnixBench,Dhrystone,185861,lps,59020167,163795151,0.3603
IC4k_DC512,4k,512,UnixBench,Arithmetic_Double,614064,lps,131641675,246984587,0.5330
IC4k_DC512,4k,512,UnixBench,Whetstone,11.939,MWIPS,62012042,233602203,0.2655
IC4k_DC512,4k,512,UnixBench,Syscall_Mix,13337,lps,27850178,246367715,0.1130
IC4k_DC512,4k,512,UnixBench,Syscall_GetPID,103573,lps,30896839,244406818,0.1264
IC4k_DC512,4k,512,UnixBench,Syscall_Exec,13,lps,2157120,21903102,0.0985
IC4k_DC512,4k,512,UnixBench,Pipe_Throughput,5554,lps,24221445,246852879,0.0981
IC4k_DC512,4k,512,UnixBench,Context_Switching,713,lps,10968039,117982652,0.0930
