IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,Uncore_LUT,S1_Fetch_LUT,S2_Decode_LUT,S3_Issue_Net_LUT,S4_Execute_Net_LUT,S5_Memory_Total_LUT,S6_Commit_LUT,Sum_Stages_LUT,Remainder_LUT,SoC_Total_FF,Uncore_FF,S1_Fetch_FF,S2_Decode_FF,S3_Issue_Net_FF,S4_Execute_Net_FF,S5_Memory_Total_FF,S6_Commit_FF,Sum_Stages_FF,Remainder_FF,SoC_Total_BRAM,Uncore_BRAM,S1_Fetch_BRAM,S2_Decode_BRAM,S3_Issue_Net_BRAM,S4_Execute_Net_BRAM,S5_Memory_Total_BRAM,S6_Commit_BRAM,Sum_Stages_BRAM,Remainder_BRAM,SoC_Total_DSP,Uncore_DSP,S1_Fetch_DSP,S2_Decode_DSP,S3_Issue_Net_DSP,S4_Execute_Net_DSP,S5_Memory_Total_DSP,S6_Commit_DSP,Sum_Stages_DSP,Remainder_DSP
4k,4w,4k,4w,16,1024,2,47808,5159,2890,673,11243,10486,12061,2779,40132,2517,22319,4921,845,370,3353,2368,5514,2863,15313,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,512,2,47729,5157,2816,672,11245,10484,12065,2782,40064,2508,22319,4921,845,370,3353,2368,5514,2863,15313,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,4096,16,2,47594,5155,2692,673,11238,10484,12052,2783,39922,2517,22189,4921,715,370,3353,2368,5514,2863,15183,2085,36,4,20,0,0,0,12,0,32,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,32,16,2,47581,5156,2690,672,11232,10483,12051,2782,39910,2515,22190,4921,715,370,3353,2368,5514,2863,15183,2086,30,4,14,0,0,0,12,0,26,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,32768,16,2,47935,5158,2695,672,11578,10488,12048,2785,40266,2511,22240,4921,766,370,3353,2368,5514,2863,15234,2085,92,4,76,0,0,0,12,0,88,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,256,16,2,47597,5158,2693,671,11237,10484,12056,2783,39924,2515,22190,4921,715,370,3353,2368,5514,2863,15183,2086,30,4,14,0,0,0,12,0,26,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,2048,16,2,47595,5160,2694,671,11241,10480,12052,2782,39920,2515,22189,4921,715,370,3353,2368,5514,2863,15183,2085,32,4,16,0,0,0,12,0,28,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,8192,2,48994,5154,3943,674,11398,10485,12044,2782,41326,2514,22320,4921,845,370,3354,2368,5514,2863,15314,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,16,64,2,47678,5159,2784,673,11232,10483,12056,2780,40008,2511,22319,4921,845,370,3353,2368,5514,2863,15313,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,64,16,2,47598,5163,2693,674,11230,10486,12057,2781,39921,2514,22190,4921,715,370,3353,2368,5514,2863,15183,2086,30,4,14,0,0,0,12,0,26,0,27,0,0,0,0,27,0,0,27,0
