Bitstream,NPB_File,UnixBench_File
ariane_IC4k_4w_128L_DC128_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260220_163423.txt,unixbench_20260220_170721.txt
ariane_IC4k_4w_128L_DC1k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260220_172724.txt,unixbench_20260220_174730.txt
ariane_IC4k_4w_128L_DC256_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260220_180417.txt,unixbench_20260220_183040.txt
ariane_IC4k_4w_128L_DC512_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260220_184834.txt,unixbench_20260220_191034.txt
