config,suite,name,score,units,instructions,cycles,ipc
8w,UnixBench,Arithmetic_Overhead,22610821,lps,96208614,247283502,0.3891
8w,UnixBench,Arithmetic_Register,659630,lps,140985970,247621491,0.5694
8w,UnixBench,Arithmetic_Short,658870,lps,140827136,247393764,0.5692
8w,UnixBench,Arithmetic_Int,659494,lps,140949675,247513074,0.5695
8w,UnixBench,Dhrystone,259701,lps,81365206,181643007,0.4479
8w,UnixBench,Arithmetic_Double,659159,lps,140876933,247313217,0.5696
8w,UnixBench,Whetstone,19.467,MWIPS,103496380,251617923,0.4113
8w,UnixBench,Syscall_Mix,23271,lps,44262251,247501671,0.1788
8w,UnixBench,Syscall_GetPID,203357,lps,55161946,244941869,0.2252
8w,UnixBench,Syscall_Exec,20,lps,2544173,21471397,0.1185
8w,UnixBench,Pipe_Throughput,8829,lps,34697801,247612404,0.1401
8w,UnixBench,Context_Switching,812,lps,13757750,117591666,0.1170
