config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BTB1024,4k,4k,UnixBench,Pipe_Throughput,9034,lps,35389558,247445596,0.1430
BTB1024,4k,4k,UnixBench,Context_Switching,905,lps,14388844,122692983,0.1173
BTB128,4k,4k,NPB,EP,0.12,Mop/s,2091435030,7022233315,0.2978
BTB128,4k,4k,NPB,IS,0.46,Mop/s,7577494,35266933,0.2149
BTB128,4k,4k,NPB,CG,0.78,Mop/s,355573189,2109192517,0.1686
BTB128,4k,4k,NPB,MG,1.07,Mop/s,33924860,175252530,0.1936
BTB128,4k,4k,NPB,FT,1.20,Mop/s,586283553,3656475015,0.1603
BTB128,4k,4k,NPB,BT,2.16,Mop/s,549439485,2612874871,0.2103
BTB128,4k,4k,NPB,SP,1.22,Mop/s,357152333,1961651449,0.1821
BTB128,4k,4k,NPB,LU,2.92,Mop/s,200221335,867085397,0.2309
BTB128,4k,4k,UnixBench,Arithmetic_Overhead,22699650,lps,96549962,247617323,0.3899
BTB128,4k,4k,UnixBench,Arithmetic_Register,658260,lps,140719603,247375232,0.5689
BTB128,4k,4k,UnixBench,Arithmetic_Short,659018,lps,140873668,247320488,0.5696
BTB128,4k,4k,UnixBench,Arithmetic_Int,658246,lps,140713868,247270284,0.5691
BTB128,4k,4k,UnixBench,Dhrystone,259576,lps,81322374,181151666,0.4489
BTB128,4k,4k,UnixBench,Arithmetic_Double,658607,lps,140782470,247399710,0.5690
BTB128,4k,4k,UnixBench,Whetstone,19.547,MWIPS,103474999,250863364,0.4125
BTB128,4k,4k,UnixBench,Syscall_Mix,22455,lps,42933972,247512871,0.1735
BTB128,4k,4k,UnixBench,Syscall_GetPID,203714,lps,55255383,245043220,0.2255
BTB128,4k,4k,UnixBench,Syscall_Exec,20,lps,2471497,20549293,0.1203
BTB128,4k,4k,UnixBench,Pipe_Throughput,8911,lps,35005919,247388703,0.1415
BTB128,4k,4k,UnixBench,Context_Switching,914,lps,14996030,127464944,0.1176
BTB16384,4k,4k,NPB,EP,0.12,Mop/s,2090701915,7008947836,0.2983
BTB16384,4k,4k,NPB,IS,0,-,0,0,0
BTB16384,4k,4k,NPB,CG,0.78,Mop/s,355383132,2105061889,0.1688
BTB16384,4k,4k,NPB,MG,1.08,Mop/s,33877806,174482615,0.1942
BTB16384,4k,4k,NPB,FT,1.20,Mop/s,586007599,3651928823,0.1605
BTB16384,4k,4k,NPB,BT,2.17,Mop/s,549102468,2605967008,0.2107
BTB16384,4k,4k,NPB,SP,1.23,Mop/s,356721327,1949092464,0.1830
BTB16384,4k,4k,NPB,LU,2.93,Mop/s,200127066,864905914,0.2314
BTB16384,4k,4k,UnixBench,Arithmetic_Overhead,22711380,lps,96588118,247513907,0.3902
BTB16384,4k,4k,UnixBench,Arithmetic_Register,662939,lps,141649180,247660436,0.5719
BTB16384,4k,4k,UnixBench,Arithmetic_Short,660205,lps,141095342,247479554,0.5701
BTB16384,4k,4k,UnixBench,Arithmetic_Int,661175,lps,141298643,247446152,0.5710
BTB16384,4k,4k,UnixBench,Dhrystone,261893,lps,81984860,182268528,0.4498
