config,suite,name,score,units,instructions,cycles,ipc
BTB512,NPB,CG,0.78,Mop/s,355477652,2108137029,0.1686
BTB512,NPB,MG,1.08,Mop/s,33911274,174734686,0.1941
BTB512,NPB,FT,1.20,Mop/s,586123428,3653560186,0.1604
BTB512,NPB,BT,2.17,Mop/s,549211352,2608286332,0.2106
BTB512,NPB,SP,1.22,Mop/s,356920694,1956154713,0.1825
BTB512,NPB,LU,2.91,Mop/s,200278403,869401544,0.2304
BTB512,UnixBench,Arithmetic_Overhead,22645299,lps,96344458,247391316,0.3894
BTB512,UnixBench,Arithmetic_Register,659393,lps,140937257,247435345,0.5696
BTB512,UnixBench,Arithmetic_Short,658859,lps,140829242,247315499,0.5694
BTB512,UnixBench,Arithmetic_Int,660596,lps,141176257,247725871,0.5699
BTB512,UnixBench,Dhrystone,260955,lps,81713463,181939291,0.4491
BTB512,UnixBench,Arithmetic_Double,659274,lps,140923392,247418579,0.5696
BTB512,UnixBench,Whetstone,19.563,MWIPS,103467995,250988087,0.4122
BTB512,UnixBench,Syscall_Mix,22421,lps,42893644,247589304,0.1732
BTB512,UnixBench,Syscall_GetPID,213045,lps,57510754,245379085,0.2344
BTB512,UnixBench,Syscall_Exec,20,lps,2596416,21653284,0.1199
BTB512,UnixBench,Pipe_Throughput,8989,lps,35246525,247410315,0.1425
BTB512,UnixBench,Context_Switching,949,lps,15510257,131397359,0.1180
BTB64,NPB,EP,0.12,Mop/s,2091429951,7030432788,0.2975
BTB64,NPB,IS,0.46,Mop/s,7570162,35237393,0.2148
BTB64,NPB,CG,0.78,Mop/s,355652398,2112326192,0.1684
BTB64,NPB,MG,1.08,Mop/s,33935771,175098001,0.1938
BTB64,NPB,FT,1.20,Mop/s,586323208,3664737288,0.1600
BTB64,NPB,BT,2.16,Mop/s,549375193,2614859900,0.2101
BTB64,NPB,SP,1.22,Mop/s,357106585,1962753415,0.1819
BTB64,NPB,LU,2.92,Mop/s,200206881,867293509,0.2308
BTB64,UnixBench,Arithmetic_Overhead,22637677,lps,96308610,247403538,0.3893
BTB64,UnixBench,Arithmetic_Register,659437,lps,140935261,247573010,0.5693
BTB64,UnixBench,Arithmetic_Short,660980,lps,141235530,247655139,0.5703
BTB64,UnixBench,Arithmetic_Int,659031,lps,140851380,247498141,0.5691
BTB64,UnixBench,Dhrystone,259995,lps,81421162,181364344,0.4489
BTB64,UnixBench,Arithmetic_Double,658351,lps,140723265,247319426,0.5690
BTB64,UnixBench,Whetstone,19.531,MWIPS,103475115,251106293,0.4121
BTB64,UnixBench,Syscall_Mix,22338,lps,42743520,247433315,0.1727
BTB64,UnixBench,Syscall_GetPID,182685,lps,50170585,245153827,0.2046
BTB64,UnixBench,Syscall_Exec,20,lps,2613657,21912611,0.1193
BTB64,UnixBench,Pipe_Throughput,8869,lps,34854923,247706141,0.1407
BTB64,UnixBench,Context_Switching,870,lps,14001086,119545261,0.1171
BTB8,NPB,EP,0.12,Mop/s,2091788549,7048518811,0.2968
BTB8,NPB,IS,0.46,Mop/s,7564241,35493790,0.2131
BTB8,NPB,CG,0.78,Mop/s,355906046,2126636623,0.1674
BTB8,NPB,MG,1.07,Mop/s,33927200,175506232,0.1933
BTB8,NPB,FT,1.19,Mop/s,586704853,3678224797,0.1595
BTB8,NPB,BT,2.15,Mop/s,549619703,2623583851,0.2095
BTB8,NPB,SP,1.21,Mop/s,357427048,1976258312,0.1809
BTB8,NPB,LU,2.90,Mop/s,200315712,871042131,0.2300
BTB8,UnixBench,Arithmetic_Overhead,22612835,lps,96215220,247417060,0.3889
BTB8,UnixBench,Arithmetic_Register,657536,lps,140563811,247394584,0.5682
BTB8,UnixBench,Arithmetic_Short,657738,lps,140600697,247379028,0.5684
BTB8,UnixBench,Arithmetic_Int,658406,lps,140725714,247507380,0.5686
BTB8,UnixBench,Dhrystone,259256,lps,81225049,181485016,0.4476
BTB8,UnixBench,Arithmetic_Double,657671,lps,140571658,247325091,0.5684
BTB8,UnixBench,Whetstone,19.449,MWIPS,103519831,251926657,0.4109
BTB8,UnixBench,Syscall_Mix,22700,lps,43351040,247341920,0.1753
BTB8,UnixBench,Syscall_GetPID,206904,lps,56075525,244935479,0.2289
BTB8,UnixBench,Syscall_Exec,20,lps,2528628,21174089,0.1194
BTB8,UnixBench,Pipe_Throughput,8855,lps,34801890,247579792,0.1406
BTB8,UnixBench,Context_Switching,865,lps,14292882,122244552,0.1169
BTB1024,NPB,EP,0.12,Mop/s,2091119444,7025387709,0.2977
BTB1024,NPB,IS,0.46,Mop/s,7564201,35173244,0.2151
BTB1024,NPB,CG,0.78,Mop/s,355489364,2108868619,0.1686
BTB1024,NPB,MG,1.08,Mop/s,33923921,174567235,0.1943
BTB1024,NPB,FT,1.20,Mop/s,586158212,3656013125,0.1603
BTB1024,NPB,BT,2.17,Mop/s,549237750,2609853264,0.2104
BTB1024,NPB,SP,1.22,Mop/s,356863351,1953717605,0.1827
BTB1024,NPB,LU,2.91,Mop/s,200331337,868016515,0.2308
BTB1024,UnixBench,Arithmetic_Overhead,22703674,lps,96536677,247637522,0.3898
BTB1024,UnixBench,Arithmetic_Register,659064,lps,140858019,247381586,0.5694
BTB1024,UnixBench,Arithmetic_Short,658365,lps,140730112,247116605,0.5695
BTB1024,UnixBench,Arithmetic_Int,659661,lps,140972658,247481038,0.5696
BTB1024,UnixBench,Dhrystone,259190,lps,81152390,180675867,0.4492
BTB1024,UnixBench,Arithmetic_Double,658974,lps,140843998,247383576,0.5693
BTB1024,UnixBench,Whetstone,19.526,MWIPS,103476658,251171937,0.4120
BTB1024,UnixBench,Syscall_Mix,22466,lps,42997253,246846606,0.1742
BTB1024,UnixBench,Syscall_GetPID,205819,lps,55688835,245836701,0.2265
BTB1024,UnixBench,Syscall_Exec,20,lps,2547968,21092005,0.1208
BTB1024,UnixBench,Pipe_Throughput,8901,lps,34938396,247596077,0.1411
BTB1024,UnixBench,Context_Switching,947,lps,14992200,127105474,0.1180
BTB16384,NPB,EP,0.12,Mop/s,2090817557,7010307232,0.2982
BTB16384,NPB,IS,0.46,Mop/s,7543627,34974326,0.2157
BTB16384,NPB,CG,0.78,Mop/s,355422624,2106149573,0.1688
BTB16384,NPB,MG,1.08,Mop/s,33902185,174306905,0.1945
BTB16384,NPB,FT,1.20,Mop/s,586050593,3651086508,0.1605
BTB16384,NPB,BT,2.17,Mop/s,549152901,2606095503,0.2107
BTB16384,NPB,SP,1.23,Mop/s,356813273,1951949685,0.1828
BTB16384,NPB,LU,2.92,Mop/s,200163451,864870666,0.2314
BTB16384,UnixBench,Arithmetic_Overhead,22684919,lps,96498812,247361975,0.3901
BTB16384,UnixBench,Arithmetic_Register,662026,lps,141463964,247559652,0.5714
BTB16384,UnixBench,Arithmetic_Short,660095,lps,141075354,247443880,0.5701
BTB16384,UnixBench,Arithmetic_Int,662122,lps,141493414,247694283,0.5712
BTB16384,UnixBench,Dhrystone,261141,lps,81785489,182050791,0.4492
BTB16384,UnixBench,Arithmetic_Double,661828,lps,141417786,247517363,0.5713
BTB16384,UnixBench,Whetstone,19.539,MWIPS,103479302,250868312,0.4125
BTB16384,UnixBench,Syscall_Mix,22227,lps,42548973,247568925,0.1719
BTB16384,UnixBench,Syscall_GetPID,209542,lps,56692758,244956175,0.2314
BTB16384,UnixBench,Syscall_Exec,20,lps,2624874,21798973,0.1204
