config,suite,name,score,units,instructions,cycles,ipc
BHT256,NPB,FT,1.21,Mop/s,585566455,3636930931,0.1610
BHT256,NPB,BT,2.18,Mop/s,548792533,2594628882,0.2115
BHT256,NPB,SP,1.24,Mop/s,356355599,1934000504,0.1843
BHT256,NPB,LU,2.94,Mop/s,200043518,860469117,0.2325
BHT256,UnixBench,Arithmetic_Overhead,22839848,lps,97100345,247658065,0.3921
BHT256,UnixBench,Arithmetic_Register,664750,lps,142036489,247717332,0.5734
BHT256,UnixBench,Arithmetic_Short,664986,lps,142075999,247586556,0.5738
BHT256,UnixBench,Arithmetic_Int,664752,lps,142025555,247640211,0.5735
BHT256,UnixBench,Dhrystone,266450,lps,83424676,184295961,0.4527
BHT256,UnixBench,Arithmetic_Double,665219,lps,142121590,247854940,0.5734
BHT256,UnixBench,Whetstone,21.166,MWIPS,113875839,256714591,0.4436
BHT256,UnixBench,Syscall_Mix,23657,lps,44939823,247638559,0.1815
BHT256,UnixBench,Syscall_GetPID,200637,lps,54510255,245116415,0.2224
BHT256,UnixBench,Syscall_Exec,21,lps,2531181,20992832,0.1206
BHT256,UnixBench,Pipe_Throughput,9315,lps,36277873,247580183,0.1465
BHT256,UnixBench,Context_Switching,952,lps,15386358,130436392,0.1180
BHT32,NPB,EP,0.12,Mop/s,2086005857,6795873389,0.3070
BHT32,NPB,IS,0.45,Mop/s,7569242,35513215,0.2131
BHT32,NPB,CG,0.78,Mop/s,355872415,2123314268,0.1676
BHT32,NPB,MG,1.07,Mop/s,33940818,175597487,0.1933
BHT32,NPB,FT,1.19,Mop/s,586635743,3674713411,0.1596
BHT32,NPB,BT,2.16,Mop/s,549508539,2619200123,0.2098
BHT32,NPB,SP,1.22,Mop/s,357241487,1965235047,0.1818
BHT32,NPB,LU,2.91,Mop/s,200301938,869762279,0.2303
BHT32,UnixBench,Arithmetic_Overhead,22636631,lps,96303534,247426640,0.3892
BHT32,UnixBench,Arithmetic_Register,658555,lps,140759805,247570742,0.5686
BHT32,UnixBench,Arithmetic_Short,658085,lps,140674376,247264069,0.5689
BHT32,UnixBench,Arithmetic_Int,658419,lps,140729719,247481325,0.5686
BHT32,UnixBench,Dhrystone,261045,lps,81793368,182667027,0.4478
BHT32,UnixBench,Arithmetic_Double,658159,lps,140685249,247417636,0.5686
BHT32,UnixBench,Whetstone,19.615,MWIPS,103468298,249797083,0.4142
BHT32,UnixBench,Syscall_Mix,22622,lps,43226756,247201318,0.1749
BHT32,UnixBench,Syscall_GetPID,214294,lps,57865532,244797641,0.2364
BHT32,UnixBench,Syscall_Exec,20,lps,2597783,21779641,0.1193
BHT32,UnixBench,Pipe_Throughput,8895,lps,34922483,247506766,0.1411
BHT32,UnixBench,Context_Switching,813,lps,14002381,119690018,0.1170
BHT512,NPB,EP,0.12,Mop/s,2083493113,6695091428,0.3112
BHT512,NPB,IS,0.46,Mop/s,7529049,34910892,0.2157
BHT512,NPB,CG,0.79,Mop/s,355079434,2091795642,0.1697
BHT512,NPB,MG,1.06,Mop/s,33950271,176857482,0.1920
BHT512,NPB,FT,1.21,Mop/s,585339046,3630998685,0.1612
BHT512,NPB,BT,2.18,Mop/s,548622227,2590777779,0.2118
BHT512,NPB,SP,1.24,Mop/s,356381427,1937690426,0.1839
BHT512,NPB,LU,2.94,Mop/s,200018508,860338321,0.2325
BHT512,UnixBench,Arithmetic_Overhead,22927033,lps,97442189,247780805,0.3933
BHT512,UnixBench,Arithmetic_Register,666593,lps,142408732,247765619,0.5748
BHT512,UnixBench,Arithmetic_Short,666420,lps,142369835,247683062,0.5748
BHT512,UnixBench,Arithmetic_Int,666683,lps,142427080,247746942,0.5749
BHT512,UnixBench,Dhrystone,266854,lps,83526772,183883852,0.4542
BHT512,UnixBench,Arithmetic_Double,666351,lps,142350015,247822719,0.5744
BHT512,UnixBench,Whetstone,21.188,MWIPS,113862527,256426152,0.4440
BHT512,UnixBench,Syscall_Mix,23137,lps,44070835,247552234,0.1780
BHT512,UnixBench,Syscall_GetPID,209469,lps,56630007,244885063,0.2313
BHT512,UnixBench,Syscall_Exec,21,lps,2616585,21607650,0.1211
BHT512,UnixBench,Pipe_Throughput,9833,lps,37945349,247428440,0.1534
BHT512,UnixBench,Context_Switching,953,lps,14370331,120452257,0.1193
BHT64,NPB,EP,0.12,Mop/s,2085671324,6784801693,0.3074
BHT64,NPB,IS,0.46,Mop/s,7562551,35392174,0.2137
BHT64,NPB,CG,0.78,Mop/s,355548420,2108715313,0.1686
BHT64,NPB,MG,1.07,Mop/s,33937635,175095096,0.1938
BHT64,NPB,FT,1.20,Mop/s,586358835,3662468097,0.1601
BHT64,NPB,BT,2.16,Mop/s,549343132,2612532209,0.2103
BHT64,NPB,SP,1.22,Mop/s,357027525,1959381564,0.1822
BHT64,NPB,LU,2.92,Mop/s,200219646,867785419,0.2307
BHT64,UnixBench,Arithmetic_Overhead,22719548,lps,96619110,247584180,0.3902
BHT64,UnixBench,Arithmetic_Register,662251,lps,141492338,247847472,0.5709
BHT64,UnixBench,Arithmetic_Short,659418,lps,140943357,247278942,0.5700
BHT64,UnixBench,Arithmetic_Int,661077,lps,141273224,247519292,0.5708
BHT64,UnixBench,Dhrystone,263046,lps,82391309,183501666,0.4490
BHT64,UnixBench,Arithmetic_Double,660424,lps,141155318,247432871,0.5705
BHT64,UnixBench,Whetstone,20.941,MWIPS,113957206,259172986,0.4397
BHT64,UnixBench,Syscall_Mix,22840,lps,43591240,247173442,0.1764
BHT64,UnixBench,Syscall_GetPID,210149,lps,56829614,245020830,0.2319
BHT64,UnixBench,Syscall_Exec,20,lps,2567837,21569104,0.1191
BHT64,UnixBench,Pipe_Throughput,9315,lps,36282974,247282893,0.1467
BHT64,UnixBench,Context_Switching,824,lps,13947863,119374580,0.1168
BHT2048,NPB,EP,0.12,Mop/s,2082999151,6687971300,0.3115
BHT2048,NPB,IS,0,-,0,0,0
BHT2048,NPB,CG,0.79,Mop/s,354873499,2087287192,0.1700
BHT2048,NPB,MG,1.08,Mop/s,33880365,173653838,0.1951
BHT2048,NPB,FT,1.21,Mop/s,585257804,3623146635,0.1615
BHT2048,NPB,BT,2.19,Mop/s,548554727,2585387697,0.2122
BHT2048,NPB,SP,1.24,Mop/s,356100562,1924501433,0.1850
BHT2048,NPB,LU,2.96,Mop/s,199913265,855884237,0.2336
BHT2048,UnixBench,Arithmetic_Overhead,23002318,lps,97729664,247951648,0.3941
BHT2048,UnixBench,Arithmetic_Register,666891,lps,142460218,247630237,0.5753
BHT2048,UnixBench,Arithmetic_Short,669138,lps,142911093,247816852,0.5767
BHT2048,UnixBench,Arithmetic_Int,667582,lps,142596853,247755386,0.5756
BHT2048,UnixBench,Dhrystone,270748,lps,84752213,186272883,0.4550
BHT2048,UnixBench,Arithmetic_Double,667838,lps,142643325,247746988,0.5758
BHT2048,UnixBench,Whetstone,21.244,MWIPS,113851951,255699272,0.4453
BHT2048,UnixBench,Syscall_Mix,23854,lps,45270354,247521659,0.1829
BHT2048,UnixBench,Syscall_GetPID,224090,lps,60123836,246288514,0.2441
BHT2048,UnixBench,Syscall_Exec,21,lps,2551183,20625919,0.1237
BHT2048,UnixBench,Pipe_Throughput,9876,lps,38073969,247709680,0.1537
BHT2048,UnixBench,Context_Switching,989,lps,14611961,119036299,0.1228
BHT4096,NPB,EP,0.12,Mop/s,2082694934,6679244617,0.3118
BHT4096,NPB,IS,0,-,0,0,0
BHT4096,NPB,CG,0.79,Mop/s,354801628,2084668609,0.1702
BHT4096,NPB,MG,1.08,Mop/s,33886465,173346573,0.1955
BHT4096,NPB,FT,1.21,Mop/s,585054996,3618780159,0.1617
BHT4096,NPB,BT,2.19,Mop/s,548414546,2581849868,0.2124
BHT4096,NPB,SP,1.24,Mop/s,356031428,1924886659,0.1850
BHT4096,NPB,LU,2.96,Mop/s,199883388,855267678,0.2337
BHT4096,UnixBench,Arithmetic_Overhead,22942466,lps,97516644,247704738,0.3937
BHT4096,UnixBench,Arithmetic_Register,668090,lps,142706819,247644018,0.5763
BHT4096,UnixBench,Arithmetic_Short,669192,lps,142915693,247869467,0.5766
BHT4096,UnixBench,Arithmetic_Int,668609,lps,142811731,247702986,0.5765
BHT4096,UnixBench,Dhrystone,271351,lps,84923584,186597301,0.4551
BHT4096,UnixBench,Arithmetic_Double,669705,lps,143023673,247868255,0.5770
BHT4096,UnixBench,Whetstone,21.249,MWIPS,113858004,255586235,0.4455
BHT4096,UnixBench,Syscall_Mix,23832,lps,45205314,247678617,0.1825
BHT4096,UnixBench,Syscall_GetPID,219946,lps,59139794,246133476,0.2403
BHT4096,UnixBench,Syscall_Exec,21,lps,2625721,21047326,0.1248
BHT4096,UnixBench,Pipe_Throughput,9855,lps,37992772,247850132,0.1533
BHT4096,UnixBench,Context_Switching,1006,lps,14527235,118198571,0.1229
BHT8192,NPB,EP,0.12,Mop/s,2082280519,6668882725,0.3122
BHT8192,NPB,IS,0.47,Mop/s,7552739,34721082,0.2175
BHT8192,NPB,CG,0.80,Mop/s,354464980,2072406094,0.1710
BHT8192,NPB,MG,1.10,Mop/s,33829087,171829975,0.1969
BHT8192,NPB,FT,1.22,Mop/s,584675814,3606574080,0.1621
BHT8192,NPB,BT,2.20,Mop/s,548185677,2574928444,0.2129
BHT8192,NPB,SP,1.25,Mop/s,355799631,1916688758,0.1856
BHT8192,NPB,LU,2.97,Mop/s,199751480,852456086,0.2343
