config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC2w_DC2w,4k,4k,UnixBench,Syscall_Mix,20766,lps,40194819,246774393,0.1629
IC2w_DC2w,4k,4k,UnixBench,Syscall_GetPID,194124,lps,52895139,245696289,0.2153
IC2w_DC2w,4k,4k,UnixBench,Syscall_Exec,19,lps,2599578,21746744,0.1195
IC2w_DC2w,4k,4k,UnixBench,Pipe_Throughput,8829,lps,34711801,247750826,0.1401
IC2w_DC2w,4k,4k,UnixBench,Context_Switching,817,lps,13792151,118862846,0.1160
IC4w_DC4w,4k,4k,NPB,EP,0.12,Mop/s,2091720837,7043067351,0.2970
IC4w_DC4w,4k,4k,NPB,IS,0,-,0,0,0
IC4w_DC4w,4k,4k,NPB,CG,0.78,Mop/s,355691296,2115058205,0.1682
IC4w_DC4w,4k,4k,NPB,MG,1.07,Mop/s,33926285,175596876,0.1932
IC4w_DC4w,4k,4k,NPB,FT,1.20,Mop/s,586437539,3666436525,0.1599
IC4w_DC4w,4k,4k,NPB,BT,2.16,Mop/s,549477111,2618799974,0.2098
IC4w_DC4w,4k,4k,NPB,SP,1.22,Mop/s,357015738,1959449520,0.1822
IC4w_DC4w,4k,4k,NPB,LU,2.91,Mop/s,200276734,869245927,0.2304
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Overhead,22588715,lps,96109837,247361504,0.3885
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Register,659245,lps,140893561,247664438,0.5689
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Short,657904,lps,140636349,247378066,0.5685
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Int,659127,lps,140872332,247740429,0.5686
IC4w_DC4w,4k,4k,UnixBench,Dhrystone,259845,lps,81391511,181625121,0.4481
IC4w_DC4w,4k,4k,UnixBench,Arithmetic_Double,658567,lps,140743683,247428437,0.5688
IC4w_DC4w,4k,4k,UnixBench,Whetstone,19.473,MWIPS,103494879,251640542,0.4113
IC4w_DC4w,4k,4k,UnixBench,Syscall_Mix,22563,lps,43138838,247237078,0.1745
IC4w_DC4w,4k,4k,UnixBench,Syscall_GetPID,180213,lps,49554602,245519790,0.2018
IC4w_DC4w,4k,4k,UnixBench,Syscall_Exec,20,lps,2539141,21289869,0.1193
IC4w_DC4w,4k,4k,UnixBench,Pipe_Throughput,8940,lps,35077549,247572440,0.1417
IC4w_DC4w,4k,4k,UnixBench,Context_Switching,885,lps,14438412,123424886,0.1170
IC8w_DC8w,4k,4k,NPB,EP,0.12,Mop/s,2091463356,7035449522,0.2973
IC8w_DC8w,4k,4k,NPB,IS,0,-,0,0,0
IC8w_DC8w,4k,4k,NPB,CG,0.78,Mop/s,355510625,2108596203,0.1686
IC8w_DC8w,4k,4k,NPB,MG,1.08,Mop/s,33911091,174799641,0.1940
IC8w_DC8w,4k,4k,NPB,FT,1.21,Mop/s,585414590,3623464808,0.1616
IC8w_DC8w,4k,4k,NPB,BT,2.15,Mop/s,549647970,2627690876,0.2092
IC8w_DC8w,4k,4k,NPB,SP,1.23,Mop/s,356691580,1947639222,0.1831
IC8w_DC8w,4k,4k,NPB,LU,2.91,Mop/s,200246094,868030027,0.2307
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Overhead,22642438,lps,96331709,247319990,0.3895
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Register,660946,lps,141229148,247689534,0.5702
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Short,660174,lps,141084246,247528765,0.5700
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Int,659775,lps,141002344,247501089,0.5697
IC8w_DC8w,4k,4k,UnixBench,Dhrystone,260259,lps,81538963,181929012,0.4482
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Double,659949,lps,141033695,247439011,0.5700
IC8w_DC8w,4k,4k,UnixBench,Whetstone,19.523,MWIPS,103473481,251205460,0.4119
IC8w_DC8w,4k,4k,UnixBench,Syscall_Mix,23748,lps,45069756,247433717,0.1821
IC8w_DC8w,4k,4k,UnixBench,Syscall_GetPID,191821,lps,52368580,245095581,0.2137
IC8w_DC8w,4k,4k,UnixBench,Syscall_Exec,20,lps,2549884,21368493,0.1193
IC8w_DC8w,4k,4k,UnixBench,Pipe_Throughput,8995,lps,35241845,247565614,0.1424
IC8w_DC8w,4k,4k,UnixBench,Context_Switching,880,lps,14618115,124758926,0.1172
