config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BHT2048,4k,4k,UnixBench,Arithmetic_Int,667516,lps,142601322,247595200,0.5759
BHT2048,4k,4k,UnixBench,Dhrystone,267854,lps,83823361,184139590,0.4552
BHT2048,4k,4k,UnixBench,Arithmetic_Double,667539,lps,142607716,247630105,0.5759
BHT2048,4k,4k,UnixBench,Whetstone,21.223,MWIPS,113879153,255987785,0.4449
BHT2048,4k,4k,UnixBench,Syscall_Mix,23539,lps,44727016,247632062,0.1806
BHT2048,4k,4k,UnixBench,Syscall_GetPID,202806,lps,55021320,245857556,0.2238
BHT2048,4k,4k,UnixBench,Syscall_Exec,21,lps,2600417,21068066,0.1234
BHT2048,4k,4k,UnixBench,Pipe_Throughput,10169,lps,39000180,247730591,0.1574
BHT2048,4k,4k,UnixBench,Context_Switching,989,lps,14568509,118337132,0.1231
BHT256,4k,4k,NPB,EP,0.12,Mop/s,2083671871,6708202829,0.3106
BHT256,4k,4k,NPB,IS,0.46,Mop/s,7571485,35263827,0.2147
BHT256,4k,4k,NPB,CG,0.79,Mop/s,355172002,2095580128,0.1695
BHT256,4k,4k,NPB,MG,1.08,Mop/s,33903773,173917467,0.1949
BHT256,4k,4k,NPB,FT,1.21,Mop/s,585603883,3637730305,0.1610
BHT256,4k,4k,NPB,BT,2.18,Mop/s,548826754,2595187225,0.2115
BHT256,4k,4k,NPB,SP,1.24,Mop/s,356402798,1935182949,0.1842
BHT256,4k,4k,NPB,LU,2.94,Mop/s,200099734,862096037,0.2321
BHT256,4k,4k,UnixBench,Arithmetic_Overhead,22835376,lps,97085143,247703481,0.3919
BHT256,4k,4k,UnixBench,Arithmetic_Register,664606,lps,142009564,247569774,0.5736
BHT256,4k,4k,UnixBench,Arithmetic_Short,665069,lps,142089669,247759759,0.5735
BHT256,4k,4k,UnixBench,Arithmetic_Int,664659,lps,142016627,247518162,0.5738
BHT256,4k,4k,UnixBench,Dhrystone,266052,lps,83307594,184184459,0.4523
BHT256,4k,4k,UnixBench,Arithmetic_Double,664965,lps,142074602,247614357,0.5738
BHT256,4k,4k,UnixBench,Whetstone,21.152,MWIPS,113879064,256936445,0.4432
BHT256,4k,4k,UnixBench,Syscall_Mix,23215,lps,44203367,247566228,0.1786
BHT256,4k,4k,UnixBench,Syscall_GetPID,215448,lps,58127710,245072353,0.2372
BHT256,4k,4k,UnixBench,Syscall_Exec,21,lps,2655595,22068809,0.1203
