IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,CPU_Core_LUT,Northbridge_LUT,Peripherals_Subsystem_LUT,SPI_Controller_LUT,UART_LUT,Memory_Interconnect_LUT,CLINT_LUT,BootROM_LUT,Uncore_Total_LUT,Glue_Logic_LUT,SoC_Total_FF,CPU_Core_FF,Northbridge_FF,Peripherals_Subsystem_FF,SPI_Controller_FF,UART_FF,Memory_Interconnect_FF,CLINT_FF,BootROM_FF,Uncore_Total_FF,Glue_Logic_FF,SoC_Total_BRAM,CPU_Core_BRAM,Northbridge_BRAM,Peripherals_Subsystem_BRAM,SPI_Controller_BRAM,UART_BRAM,Memory_Interconnect_BRAM,CLINT_BRAM,BootROM_BRAM,Uncore_Total_BRAM,Glue_Logic_BRAM,SoC_Total_DSP,CPU_Core_DSP,Northbridge_DSP,Peripherals_Subsystem_DSP,SPI_Controller_DSP,UART_DSP,Memory_Interconnect_DSP,CLINT_DSP,BootROM_DSP,Uncore_Total_DSP,Glue_Logic_DSP
4k,4w,4k,4w,16,1024,2,47808,40132,3641,1874,562,345,363,183,65,7033,643,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,512,2,47729,40064,3639,1868,560,346,364,183,65,7025,640,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,4096,16,2,47594,39922,3641,1867,558,346,362,183,65,7022,650,22189,15183,3340,1516,683,305,432,151,10,6437,569,36,32,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,32,16,2,47581,39910,3637,1871,562,346,363,183,65,7027,644,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,32768,16,2,47935,40266,3640,1867,561,346,363,183,65,7025,644,22240,15234,3340,1516,683,305,432,151,10,6437,569,92,88,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,256,16,2,47597,39924,3642,1873,560,346,362,183,65,7031,642,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,2048,16,2,47595,39920,3643,1870,561,346,362,183,65,7030,645,22189,15183,3340,1516,683,305,432,151,10,6437,569,32,28,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,8192,2,48994,41326,3638,1867,560,346,362,183,65,7021,647,22320,15314,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,16,64,2,47678,40008,3640,1866,561,346,364,183,65,7025,645,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,64,16,2,47598,39921,3648,1867,560,346,361,183,65,7030,647,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,8192,16,2,47612,39933,3642,1872,560,346,365,183,65,7033,646,22189,15183,3340,1516,683,305,432,151,10,6437,569,42,38,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,8,16,2,47690,40017,3638,1871,561,346,361,183,65,7025,648,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,512,4w,16,16,2,48400,40713,3644,1868,560,345,362,183,65,7027,660,23022,16019,3340,1516,683,305,432,151,10,6437,566,16,24,2,0,0,0,0,0,2,4,-12,27,27,0,0,0,0,0,0,0,0,0
4k,4w,64k,4w,16,16,2,47743,40064,3646,1865,559,346,362,183,65,7026,653,22331,15321,3340,1516,683,305,432,151,10,6437,573,40,36,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,8k,4w,16,16,2,47705,40025,3645,1867,561,346,363,183,65,7030,650,22325,15320,3340,1516,683,305,432,151,10,6437,568,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,8w,4k,8w,16,16,2,48535,40727,3635,1875,559,346,361,183,65,7024,784,22370,15367,3340,1516,683,305,432,151,10,6437,566,52,48,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
4k,4w,4k,4w,512,16,2,47594,39919,3641,1865,559,346,361,183,65,7020,655,22190,15183,3340,1516,683,305,432,151,10,6437,570,30,26,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
8k,4w,8k,4w,16,16,2,47687,40008,3640,1867,558,346,362,183,65,7021,658,22322,15315,3340,1516,683,305,432,151,10,6437,570,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
8k,4w,4k,4w,16,16,2,47665,39995,3642,1867,560,345,363,183,65,7025,645,22320,15315,3340,1516,683,305,432,151,10,6437,568,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
16k,4w,4k,4w,16,16,2,47687,40014,3637,1868,560,346,363,183,65,7022,651,22321,15317,3340,1516,683,305,432,151,10,6437,567,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
16k,4w,16k,4w,16,16,2,47730,40061,3638,1872,560,346,363,183,65,7027,642,22327,15321,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
32k,4w,32k,4w,16,16,2,47736,40041,3645,1869,561,345,364,183,65,7032,663,22328,15319,3340,1516,683,305,432,151,10,6437,572,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
32k,4w,4k,4w,16,16,2,47683,40008,3645,1871,559,346,362,183,65,7031,644,22319,15313,3340,1516,683,305,432,151,10,6437,569,28,24,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
64k,4w,64k,4w,16,16,2,47772,40097,3642,1863,560,346,362,183,65,7021,654,22331,15321,3340,1516,683,305,432,151,10,6437,573,52,48,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
64k,4w,4k,4w,16,16,2,47724,40049,3643,1871,561,346,362,183,65,7031,644,22321,15317,3340,1516,683,305,432,151,10,6437,567,40,36,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
128k,4w,4k,4w,16,16,2,47873,40206,3643,1865,560,346,362,183,65,7024,643,22321,15317,3340,1516,683,305,432,151,10,6437,567,60,56,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
128k,4w,128k,4w,16,16,2,47952,40240,3643,1871,561,346,361,183,65,7030,682,22334,15323,3340,1516,683,305,432,151,10,6437,574,92,88,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
256k,4w,4k,4w,16,16,2,48276,40592,3646,1873,560,346,361,183,65,7034,650,22320,15315,3340,1516,683,305,432,151,10,6437,568,104,100,2,0,0,0,0,0,2,4,0,27,27,0,0,0,0,0,0,0,0,0
