Bitstream,NPB_File,UnixBench_File
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB512_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_154441.txt,unixbench_20260214_160240.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB64_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_161735.txt,unixbench_20260214_163541.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8192_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_165037.txt,unixbench_20260214_170838.txt
ariane_IC4k_4w_128L_DC4k_4w_128L_BTB8_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_172332.txt,unixbench_20260214_174133.txt
ariane_IC4k_4w_128L_DC64k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC4k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_181652.txt,unixbench_20260214_183415.txt
ariane_IC4k_8w_128L_DC4k_8w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_184855.txt,unixbench_20260214_190653.txt
ariane_IC64k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,SHELL_FAIL,SHELL_FAIL
ariane_IC64k_4w_128L_DC64k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,BOOT_TIMEOUT,BOOT_TIMEOUT
ariane_IC8k_4w_128L_DC4k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_195915.txt,unixbench_20260214_201627.txt
ariane_IC8k_4w_128L_DC8k_4w_128L_BTB16_BHT16_RAS2_ITLB4_DTLB4.bit.bin,NPB_20260214_203059.txt,unixbench_20260214_204740.txt
